Year,State,District,Water Level
2021-22,Odisha,Bargarh,0 to 2 Pre Monsoon (in mbgl)
2019-20,Bihar,Bhagalpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Warangal Rural,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Rampur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Jharkhand,Lohardaga,5 to 10 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Pulwama,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Thanjavur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Nagapattinam,2 to 5 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Thanjavur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Karnataka,Bagalkot,5 to 10 Pre Monsoon (in mbgl)
2019-20,Nagaland,Kiphire,20 to 40 Pre Monsoon (in mbgl)
2020-21,Odisha,Gajapati,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Paschim Medinipur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Telangana,Jagtial,5 to 10 Pre Monsoon (in mbgl)
2021-22,Meghalaya,East Jaintia Hills,20 to 40 Pre Monsoon (in mbgl)
2019-20,Andaman and Nicobar Islands,North Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Gujarat,Kheda,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Surajpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Telangana,Karimnagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Odisha,Angul,5 to 10 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Upper Subansiri,5 to 10 Pre Monsoon (in mbgl)
2019-20,Punjab,Jalandhar,20 to 40 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Long Island,2 to 5 Pre Monsoon (in mbgl)
2020-21,Bihar,Darbhanga,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Patan,10 to 20 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Baramulla,0 to 2 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Nagpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Haryana,Ambala,10 to 20 Pre Monsoon (in mbgl)
2019-20,Assam,Majuli,2 to 5 Pre Monsoon (in mbgl)
2021-22,Telangana,Yadadri Bhuvangiri,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Baghpat,20 to 40 Pre Monsoon (in mbgl)
2020-21,Punjab,Patiala,20 to 40 Pre Monsoon (in mbgl)
2021-22,Goa,Mormugao,2 to 5 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Sidhi,5 to 10 Pre Monsoon (in mbgl)
2020-21,Haryana,Karnal,20 to 40 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Mumbai Suburban,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttarakhand,Almora,10 to 20 Pre Monsoon (in mbgl)
2021-22,Gujarat,Navsari,5 to 10 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Indore,5 to 10 Pre Monsoon (in mbgl)
2020-21,Telangana,Mulugu,10 to 20 Pre Monsoon (in mbgl)
2019-20,Telangana,Sangareddy,20 to 40 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Kannauj,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jharkhand,Godda,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Vellore,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Ratnagiri,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttarakhand,Rudraprayag,10 to 20 Pre Monsoon (in mbgl)
2021-22,Gujarat,Amreli,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Coimbatore,10 to 20 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Sivaganga,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Kachchh,10 to 20 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Hanumangarh,20 to 40 Pre Monsoon (in mbgl)
2019-20,Bihar,Samastipur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Bundi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Gadchiroli,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Ramban,2 to 5 Pre Monsoon (in mbgl)
2020-21,Odisha,Rayagada,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Vadodara,5 to 10 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Mahasamund,5 to 10 Pre Monsoon (in mbgl)
2020-21,Odisha,Cuttack,2 to 5 Pre Monsoon (in mbgl)
2019-20,Punjab,Tarn Taran,20 to 40 Pre Monsoon (in mbgl)
2020-21,Karnataka,Chikmagalur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Surat,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Kaimur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Karauli,>40 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Perambalur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Khandwa,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Chitrakoot,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Pali,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Nizamabad,10 to 20 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Kamle,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttarakhand,Udham Singh Nagar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Rajgarh,10 to 20 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Jammu,2 to 5 Pre Monsoon (in mbgl)
2021-22,Meghalaya,West Jaintia Hills,0 to 2 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Balaghat,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Koraput,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Sitamarhi,0 to 2 Pre Monsoon (in mbgl)
2019-20,Haryana,Bhiwani,2 to 5 Pre Monsoon (in mbgl)
2020-21,Bihar,Arwal,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Latur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,East Godavari,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Jodhpur,>40 Pre Monsoon (in mbgl)
2021-22,Odisha,Sundargarh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Basti,2 to 5 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Neemuch,10 to 20 Pre Monsoon (in mbgl)
2019-20,Maharashtra,Mumbai City,2 to 5 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Deoghar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Longding,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Shahjahanpur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Gir Somnath,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Osmanabad,10 to 20 Pre Monsoon (in mbgl)
2020-21,Haryana,Sonipat,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Kishtwar,10 to 20 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Lower Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Samba,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Araria,2 to 5 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruvannamalai,5 to 10 Pre Monsoon (in mbgl)
2020-21,Himachal Pradesh,Mandi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Morena,20 to 40 Pre Monsoon (in mbgl)
2019-20,Nagaland,Peren,2 to 5 Pre Monsoon (in mbgl)
2019-20,Assam,Udalguri,2 to 5 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Sonbhadra,5 to 10 Pre Monsoon (in mbgl)
2021-22,Meghalaya,West Khasi Hills,0 to 2 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Etah,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Poonch,N.A. Pre Monsoon (in mbgl)
2019-20,Rajasthan,Chittorgarh,10 to 20 Pre Monsoon (in mbgl)
2020-21,Assam,Dibrugarh,2 to 5 Pre Monsoon (in mbgl)
2019-20,Jharkhand,Ramgarh,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Parbhani,5 to 10 Pre Monsoon (in mbgl)
2020-21,Meghalaya,East Jaintia Hills,20 to 40 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Lepa Rada,10 to 20 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Dausa,20 to 40 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Dhamtari,2 to 5 Pre Monsoon (in mbgl)
2020-21,Odisha,Ganjam,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Aurangabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Nagaland,Peren,2 to 5 Pre Monsoon (in mbgl)
2019-20,Bihar,Bhojpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Bihar,Sheikhpura,2 to 5 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Bilaspur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Kerala,Kollam,5 to 10 Pre Monsoon (in mbgl)
2020-21,Punjab,Amritsar,10 to 20 Pre Monsoon (in mbgl)
2019-20,Haryana,Palwal,5 to 10 Pre Monsoon (in mbgl)
2020-21,Goa,Sanguem,5 to 10 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Rajsamand,5 to 10 Pre Monsoon (in mbgl)
2019-20,Bihar,Begusarai,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Korba,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Koppal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Nalgonda,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Suryapet,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Ballia,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Etawah,5 to 10 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Koriya,5 to 10 Pre Monsoon (in mbgl)
2021-22,Delhi,East Delhi,10 to 20 Pre Monsoon (in mbgl)
2019-20,Odisha,Balangir,2 to 5 Pre Monsoon (in mbgl)
2021-22,Telangana,Adilabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,South Salmara Mankachar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Hardoi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Mandsaur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Siddharth Nagar,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Jhargram,2 to 5 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Mandi,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Tuticorin,2 to 5 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Kancheepuram,2 to 5 Pre Monsoon (in mbgl)
2019-20,Kerala,Kollam,5 to 10 Pre Monsoon (in mbgl)
2019-20,Bihar,Araria,2 to 5 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Kathua,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Khargone,5 to 10 Pre Monsoon (in mbgl)
2019-20,Punjab,Bathinda,20 to 40 Pre Monsoon (in mbgl)
2020-21,Nagaland,Wokha,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Rajauri,2 to 5 Pre Monsoon (in mbgl)
2020-21,Karnataka,Gulbarga,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Betul,5 to 10 Pre Monsoon (in mbgl)
2019-20,Telangana,Adilabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Banda,2 to 5 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Vidisha,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Sirohi,10 to 20 Pre Monsoon (in mbgl)
2019-20,West Bengal,Howrah,0 to 2 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Rajsamand,10 to 20 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Baloda Bazar,5 to 10 Pre Monsoon (in mbgl)
2019-20,Kerala,Kasaragod,10 to 20 Pre Monsoon (in mbgl)
2021-22,Punjab,Rupnagar,20 to 40 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Sukma,5 to 10 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Datia,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Papum Pare,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Siang,10 to 20 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Kishtwar,10 to 20 Pre Monsoon (in mbgl)
2019-20,Telangana,Narayanpet,10 to 20 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Churu,20 to 40 Pre Monsoon (in mbgl)
2019-20,Andhra Pradesh,Anantapur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Bihar,Banka,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Barabanki,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Devbhumi Dwarka,10 to 20 Pre Monsoon (in mbgl)
2019-20,Nagaland,Dimapur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Ariyalur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,East Kameng,0 to 2 Pre Monsoon (in mbgl)
2020-21,Odisha,Puri,2 to 5 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Sant Ravidas Nagar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Andhra Pradesh,Visakhapatnam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Gondia,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Srinagar,2 to 5 Pre Monsoon (in mbgl)
2020-21,Odisha,Malkangiri,2 to 5 Pre Monsoon (in mbgl)
2019-20,Gujarat,Morbi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Singrauli,5 to 10 Pre Monsoon (in mbgl)
2019-20,Nagaland,Mon,20 to 40 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Hamirpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Telangana,Mulugu,10 to 20 Pre Monsoon (in mbgl)
2020-21,Delhi,South-West Delhi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Erode,10 to 20 Pre Monsoon (in mbgl)
2021-22,Kerala,Idukki,2 to 5 Pre Monsoon (in mbgl)
2021-22,Odisha,Baleshwar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Odisha,Nuapada,5 to 10 Pre Monsoon (in mbgl)
2020-21,Bihar,Lakhisarai,5 to 10 Pre Monsoon (in mbgl)
2021-22,Punjab,Ferozepur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Tirap,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Karimnagar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Mahesana,10 to 20 Pre Monsoon (in mbgl)
2021-22,Uttarakhand,Rudraprayag,10 to 20 Pre Monsoon (in mbgl)
2019-20,West Bengal,Birbhum,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Sagar,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Srinagar,2 to 5 Pre Monsoon (in mbgl)
2019-20,West Bengal,Purba Medinipur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Jalore,>40 Pre Monsoon (in mbgl)
2021-22,Meghalaya,East Khasi Hills,2 to 5 Pre Monsoon (in mbgl)
2020-21,Odisha,Khordha,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Bellary,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kamle,5 to 10 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Ariyalur,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Purba Barddhaman,5 to 10 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Pali,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Hathras,10 to 20 Pre Monsoon (in mbgl)
2019-20,Nagaland,Wokha,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Kulgam,10 to 20 Pre Monsoon (in mbgl)
2020-21,Odisha,Nuapada,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Udhampur,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Purulia,2 to 5 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Tikamgarh,5 to 10 Pre Monsoon (in mbgl)
2020-21,Bihar,Jehanabad,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Reasi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Bihar,Gaya,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Anantapur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Delhi,East Delhi,10 to 20 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Trichy,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Bundi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Jammu and Kashmir,Shopian,0 to 2 Pre Monsoon (in mbgl)
2019-20,Karnataka,Chikmagalur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Aravalli,10 to 20 Pre Monsoon (in mbgl)
2019-20,Bihar,Jehanabad,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Sultanpur,5 to 10 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Mungeli,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Yavatmal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Ashok Nagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Meghalaya,East Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Mirzapur,0 to 2 Pre Monsoon (in mbgl)
2020-21,Gujarat,Junagadh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tirap,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Aurangabad,10 to 20 Pre Monsoon (in mbgl)
2021-22,Puducherry,Karaikal,5 to 10 Pre Monsoon (in mbgl)
2020-21,Andhra Pradesh,Guntur,2 to 5 Pre Monsoon (in mbgl)
2019-20,Telangana,Jayashankar Bhupalpally,10 to 20 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Hoshangabad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Telangana,Narayanpet,10 to 20 Pre Monsoon (in mbgl)
2020-21,Tamil Nadu,Namakkal,10 to 20 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Dausa,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Kanpur Nagar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Bihar,Gaya,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Anand,20 to 40 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Aligarh,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Sehore,5 to 10 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Dhamtari,2 to 5 Pre Monsoon (in mbgl)
2021-22,Tamil Nadu,Madurai,5 to 10 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Ajmer,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Ajmer,10 to 20 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Hanumangarh,10 to 20 Pre Monsoon (in mbgl)
2021-22,Himachal Pradesh,Sirmaur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Karnataka,Gadag,5 to 10 Pre Monsoon (in mbgl)
2019-20,Assam,Sivasagar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Chhattisgarh,Kawardha/ Kabirdham,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Dohad,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jharkhand,Giridih,5 to 10 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Banda,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Chamarajanagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Odisha,Kalahandi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Kangra,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Chhota Udaipur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Pre Monsoon (in mbgl)
2020-21,Rajasthan,Pali,5 to 10 Pre Monsoon (in mbgl)
2019-20,Bihar,Lakhisarai,5 to 10 Pre Monsoon (in mbgl)
2019-20,Tripura,West Tripura,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Hathras,10 to 20 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Changlang,2 to 5 Pre Monsoon (in mbgl)
2020-21,Goa,Salcete,5 to 10 Pre Monsoon (in mbgl)
2020-21,Telangana,Jagtial,5 to 10 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Seoni,2 to 5 Pre Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Longding,5 to 10 Pre Monsoon (in mbgl)
2021-22,Jharkhand,Garhwa,5 to 10 Pre Monsoon (in mbgl)
2020-21,Gujarat,Sabarkantha,10 to 20 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Panna,5 to 10 Pre Monsoon (in mbgl)
2020-21,Delhi,North-West Delhi,2 to 5 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Ratlam,10 to 20 Pre Monsoon (in mbgl)
2020-21,Ladakh,Kargil,10 to 20 Pre Monsoon (in mbgl)
2020-21,Assam,Morigaon,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Morbi,2 to 5 Pre Monsoon (in mbgl)
2020-21,Himachal Pradesh,Kullu,5 to 10 Pre Monsoon (in mbgl)
2019-20,Bihar,Banka,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Sheopur,10 to 20 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Shajapur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Satara,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Udhampur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Gadchiroli,5 to 10 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Gumla,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kasganj,5 to 10 Pre Monsoon (in mbgl)
2020-21,Dadra and Nagar Haveli,Dadra and Nagar Haveli,10 to 20 Pre Monsoon (in mbgl)
2019-20,Uttar Pradesh,Jalaun,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Gandhinagar,20 to 40 Pre Monsoon (in mbgl)
2020-21,Karnataka,Bidar,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttarakhand,Haridwar,5 to 10 Pre Monsoon (in mbgl)
2019-20,Gujarat,Bharuch,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Maharajganj,2 to 5 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Dhanbad,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Satara,5 to 10 Pre Monsoon (in mbgl)
2021-22,Odisha,Jajapur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Nagaland,Zunheboto,2 to 5 Pre Monsoon (in mbgl)
2020-21,Telangana,Nagarkurnool,10 to 20 Pre Monsoon (in mbgl)
2019-20,Gujarat,Ahmedabad,2 to 5 Pre Monsoon (in mbgl)
2019-20,Chhattisgarh,Janjgir-Champa,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Surendranagar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Nagaland,Mon,20 to 40 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Dindori,5 to 10 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Ahmednagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Nagaur,20 to 40 Pre Monsoon (in mbgl)
2020-21,Assam,Kamrup,2 to 5 Pre Monsoon (in mbgl)
2019-20,Punjab,Ludhiana,20 to 40 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Basti,2 to 5 Pre Monsoon (in mbgl)
2019-20,Karnataka,Shimoga,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Gujarat,Mahisagar,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Aligarh,5 to 10 Pre Monsoon (in mbgl)
2021-22,Rajasthan,Tonk,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Belgaum,5 to 10 Pre Monsoon (in mbgl)
2021-22,Karnataka,Kolar,2 to 5 Pre Monsoon (in mbgl)
2021-22,Himachal Pradesh,Hamirpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Madhya Pradesh,Datia,10 to 20 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Chhatarpur,10 to 20 Pre Monsoon (in mbgl)
2021-22,Assam,Hojai,5 to 10 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Raisen,5 to 10 Pre Monsoon (in mbgl)
2021-22,Uttar Pradesh,Allahabad,2 to 5 Pre Monsoon (in mbgl)
2021-22,Gujarat,Dang,5 to 10 Pre Monsoon (in mbgl)
2019-20,Telangana,Nirmal,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,West Karbi Anglong,2 to 5 Pre Monsoon (in mbgl)
2020-21,West Bengal,Alipurduar,0 to 2 Pre Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Siang,2 to 5 Pre Monsoon (in mbgl)
2020-21,Gujarat,Narmada,5 to 10 Pre Monsoon (in mbgl)
2020-21,Uttarakhand,Champawat,10 to 15 Pre Monsoon (in mbgl)
2021-22,Uttarakhand,Chamoli,10 to 20 Pre Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruchirappalli,5 to 10 Pre Monsoon (in mbgl)
2019-20,Odisha,Jajapur,2 to 5 Pre Monsoon (in mbgl)
2020-21,Andaman and Nicobar Islands,Havelock Island,0 to 2 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Baghpat,20 to 40 Pre Monsoon (in mbgl)
2020-21,Jharkhand,Bokaro,5 to 10 Pre Monsoon (in mbgl)
2020-21,Telangana,Wanaparthy,10 to 20 Pre Monsoon (in mbgl)
2020-21,Uttar Pradesh,Bahraich,2 to 5 Pre Monsoon (in mbgl)
2021-22,Haryana,Sirsa,>40 Pre Monsoon (in mbgl)
